X,Y,R.mantel,P.mantel,R.cosine,P.cosine,P.transform,P.adjust,class.w
40,20,0.783640648163367,0.88,0.790328974239692,0.88,0.12,0.125373134328358,white
45,20,0.773944054836317,0.96,0.780423830611565,0.96,0.04,0.0491228070175439,tomato
50,20,0.76715289362247,0.95,0.773578011038429,0.95,0.05,0.0583333333333334,white
55,20,0.764093043503109,0.95,0.770535280344274,0.95,0.05,0.0583333333333334,white
60,20,0.763120569417862,0.95,0.769510175477474,0.95,0.05,0.0583333333333334,white
65,20,0.763614200872949,0.95,0.769961482827428,0.95,0.05,0.0583333333333334,white
70,20,0.761239169174664,0.97,0.767612202426866,0.97,0.03,0.0384146341463415,tomato
75,20,0.761135767159803,0.96,0.76748648818409,0.96,0.04,0.0491228070175439,tomato
80,20,0.752403129864764,0.96,0.758725191656524,0.96,0.04,0.0491228070175439,tomato
85,20,0.751640543553234,0.98,0.757948724286517,0.98,0.02,0.0270967741935484,tomato
90,20,0.742083350835564,0.99,0.748365257269449,0.99,0.01,0.0148936170212766,tomato
95,20,0.744474581814928,0.98,0.750765143991464,0.98,0.02,0.0270967741935484,tomato
100,20,0.749973685806037,0.98,0.756226574373717,0.98,0.02,0.0270967741935484,tomato
30,25,0.995497850525159,1,0.995622544913921,1,0,0,tomato
35,25,0.989130424288026,1,0.989398848479435,1,0,0,tomato
40,25,0.98798464626337,1,0.988266825452437,1,0,0,tomato
45,25,0.9761996109972,1,0.976626839293168,1,0,0,tomato
50,25,0.968447230387309,1,0.968971149267988,1,0,0,tomato
55,25,0.966010461904551,1,0.966566177580333,1,0,0,tomato
60,25,0.964942237520002,1,0.965482376920224,1,0,0,tomato
65,25,0.96592068998599,1,0.966415307777248,1,0,0,tomato
70,25,0.963484453604289,1,0.964025631457618,1,0,0,tomato
75,25,0.96311896480126,1,0.963655574549274,1,0,0,tomato
80,25,0.953840718616436,1,0.954474822720735,1,0,0,tomato
85,25,0.952683673967122,1,0.953328193971716,1,0,0,tomato
90,25,0.940910116643289,1,0.941695123766662,1,0,0,tomato
95,25,0.94319998213847,1,0.94397087900814,1,0,0,tomato
100,25,0.948290551147772,1,0.94899323448443,1,0,0,tomato
35,30,0.99698038236255,1,0.997057571617493,1,0,0,tomato
40,30,0.99372562604738,1,0.993892676672776,1,0,0,tomato
45,30,0.988073869018431,1,0.988272742654888,1,0,0,tomato
50,30,0.980095439822019,1,0.980427208938161,1,0,0,tomato
55,30,0.978656228721443,1,0.978998926986169,1,0,0,tomato
60,30,0.977399802815797,1,0.977742712837048,1,0,0,tomato
65,30,0.976937028059367,1,0.977280188855143,1,0,0,tomato
70,30,0.975703981270363,1,0.976062779628176,1,0,0,tomato
75,30,0.975135861273967,1,0.975498849780978,1,0,0,tomato
80,30,0.964711353625819,1,0.96522805256072,1,0,0,tomato
85,30,0.964051507279921,1,0.964568085607497,1,0,0,tomato
90,30,0.950399328893267,1,0.9511266752787,1,0,0,tomato
95,30,0.95163985697221,1,0.952375513052337,1,0,0,tomato
100,30,0.954242551427917,1,0.95497046462897,1,0,0,tomato
40,35,0.994932926770208,1,0.995082899607262,1,0,0,tomato
